product_id,product_name,actual_price,discounted_price,discounted_amount,discount_percentage,category,subcategory,rating,rating_count,ranking
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",13.19,4.79,8.399999999999999,0.64,Computers & Accessories,Accessories & Peripherals,4.2,24269.0,Very Good
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",4.19,2.39,1.8000000000000003,0.43,Computers & Accessories,Accessories & Peripherals,4.0,43994.0,Very Good
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",22.79,2.39,20.4,0.9,Computers & Accessories,Accessories & Peripherals,3.9,7928.0,Good
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",8.39,3.95,4.44,0.53,Computers & Accessories,Accessories & Peripherals,4.2,94363.0,Very Good
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",4.79,1.85,2.94,0.61,Computers & Accessories,Accessories & Peripherals,4.2,16905.0,Very Good
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",12.0,1.79,10.21,0.85,Computers & Accessories,Accessories & Peripherals,3.9,24871.0,Good
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",5.99,2.12,3.87,0.65,Computers & Accessories,Accessories & Peripherals,4.1,15188.0,Very Good
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),3.59,2.75,0.8399999999999999,0.23,Computers & Accessories,Accessories & Peripherals,4.3,30411.0,Very Good
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",11.99,5.99,6.0,0.5,Computers & Accessories,Networking Devices,4.2,179691.0,Very Good
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",3.59,2.39,1.1999999999999997,0.33,Computers & Accessories,Accessories & Peripherals,4.0,43994.0,Very Good
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),4.07,1.85,2.22,0.55,Computers & Accessories,Accessories & Peripherals,4.3,13391.0,Very Good
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),9.59,3.59,6.0,0.63,Computers & Accessories,Accessories & Peripherals,4.2,94363.0,Very Good
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",8.4,2.63,5.7700000000000005,0.69,Electronics,"Home Theater, TV & Video",4.4,426973.0,Very Good
B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",10.79,4.2,6.589999999999999,0.61,Computers & Accessories,Accessories & Peripherals,4.2,2262.0,Very Good
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),4.79,1.91,2.88,0.6,Computers & Accessories,Accessories & Peripherals,4.1,4768.0,Very Good
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),4.79,4.19,0.5999999999999996,0.13,Computers & Accessories,Accessories & Peripherals,4.4,18757.0,Very Good
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),299.99,167.99,132.0,0.44,Electronics,"Home Theater, TV & Video",4.2,32840.0,Very Good
B082LSVT4B,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",4.79,2.99,1.7999999999999998,0.38,Computers & Accessories,Accessories & Peripherals,4.0,43994.0,Very Good
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",5.99,2.39,3.6,0.6,Computers & Accessories,Accessories & Peripherals,4.1,13045.0,Very Good
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),263.88,161.88,102.0,0.39,Electronics,"Home Theater, TV & Video",4.3,11976.0,Very Good
B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",21.59,11.64,9.95,0.46,Computers & Accessories,Accessories & Peripherals,4.5,815.0,Very Good
B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",5.99,3.35,2.64,0.44,Electronics,"Home Theater, TV & Video",3.7,10962.0,Good
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),274.8,161.88,112.92000000000002,0.41,Electronics,"Home Theater, TV & Video",4.3,16299.0,Very Good
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),2.39,0.71,1.6800000000000002,0.7,Computers & Accessories,Accessories & Peripherals,4.0,9378.0,Very Good
B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),239.88,137.99,101.88999999999999,0.42,Electronics,"Home Theater, TV & Video",4.3,4703.0,Very Good
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),8.39,2.39,6.0,0.72,Electronics,"Home Theater, TV & Video",4.2,12153.0,Very Good
B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),239.99,179.99,60.0,0.25,Electronics,"Home Theater, TV & Video",4.2,34899.0,Very Good
B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",4.79,3.59,1.2000000000000002,0.25,Computers & Accessories,Accessories & Peripherals,4.0,2766.0,Very Good
B09W5XR9RT,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",23.99,11.64,12.349999999999998,0.51,Computers & Accessories,Accessories & Peripherals,4.4,184.0,Very Good
B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",11.99,3.59,8.4,0.7,Computers & Accessories,Accessories & Peripherals,4.3,20850.0,Very Good
B00NH11PEY,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",9.0,2.39,6.609999999999999,0.73,Computers & Accessories,Accessories & Peripherals,4.5,74976.0,Very Good
B09CMM3VGK,"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",5.99,2.15,3.8400000000000003,0.64,Computers & Accessories,Accessories & Peripherals,4.0,1934.0,Very Good
B08QSC1XY8,"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",13.19,4.67,8.52,0.65,Computers & Accessories,Accessories & Peripherals,4.3,974.0,Very Good
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",7.19,7.19,0.0,0.0,Computers & Accessories,Accessories & Peripherals,4.3,355.0,Very Good
B0B4HJNPV4,"pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1 Meter Long Cable for Type-C Smartphones, Tablets & Laptops (Black)",11.99,2.39,9.6,0.8,Computers & Accessories,Accessories & Peripherals,3.9,1075.0,Good
B08Y1SJVV5,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)",8.0,1.19,6.8100000000000005,0.85,Computers & Accessories,Accessories & Peripherals,3.9,24871.0,Good
B07XLCFSSN,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",22.8,10.79,12.010000000000002,0.53,Computers & Accessories,Accessories & Peripherals,4.4,13552.0,Very Good
